Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
0,68.76245117,74.34281921,70.98238373,77.70672607,69.45121765,70.62499237,82.42411804,77.77777863
1,65.61673737,74.25148773,68.21058655,72.10032654,64.10173798,73.31535339,84.42975616,74.68323517
2,64.3744278,75.30001068,75.00048065,77.5952301,64.61433411,77.08456421,82.92609406,82.22330475
3,65.44184113,75.59962463,75.70833588,76.75289154,71.58581543,73.16040039,73.23808289,83.62031555
4,67.22003937,74.29216003,81.2802124,81.46170807,66.67134857,76.20957947,81.61844635,86.22329712
6,71.98117828,77.52119446,75.37539673,78.42840576,79.2388916,77.70046997,78.58192444,77.02558899
7,75.05970764,74.91997528,77.62796021,76.12918854,77.16455841,78.04252625,75.82249451,76.85440826
8,74.86027527,76.44384766,78.11798859,76.10277557,75.8772583,78.17407227,77.08178711,77.86521912
9,74.10192108,75.02414703,74.24051666,75.92713165,77.05849457,72.69259644,76.00167847,78.70640564
10,72.85966492,75.32661438,76.03091431,75.50821686,75.11185455,79.18825531,77.64787292,75.91209412
12,68.94460297,78.60168457,72.54482269,76.62234497,74.57445526,75.42980957,77.21829987,75.26657104
13,73.59934235,75.44539642,77.14076233,78.68280792,72.50350189,75.59241486,77.22628021,75.35526276
14,66.48903656,74.35604858,76.67893982,78.70024872,70.63378906,76.61529541,77.60422516,77.11679077
15,67.91122437,78.75930023,73.52593231,77.24625397,69.25582123,76.81105042,77.00125122,76.7738266
16,68.67295074,79.83786774,73.65223694,77.07044983,72.52577209,78.04133606,73.54253387,76.7530365
18,68.74152374,73.93054962,76.97052002,80.0018158,72.37273407,77.21058655,72.09984589,77.88386536
19,70.15938568,72.79284668,74.15886688,74.55180359,72.65920258,75.58638763,75.8635025,76.95088959
20,70.7097168,75.93313599,71.11765289,76.84882355,69.95172119,75.78579712,73.20294189,79.67787933
21,73.48338318,74.17009735,72.94275665,77.15633392,70.13114166,78.56186676,72.70265198,78.63610077
22,74.89429474,74.33594513,72.94585419,74.52069855,68.81804657,78.86365509,71.99951935,78.19111633
24,72.69664764,71.85958862,76.26070404,74.37667847,74.43725586,74.28295898,70.7840271,75.20133209
25,72.22787476,72.50862122,74.96682739,75.36621857,71.90872955,74.12698364,72.82247925,73.16938782
26,72.46860504,73.21932983,74.93301392,72.78812408,72.90502167,75.23202515,73.1672287,74.22914124
