Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
1,142.2152078,142.2152078,142.2152078,142.2152078,142.2152078,142.2152078,142.2152078,142.2152078
5,91.6493175,123.6171672,104.643221,121.9284478,98.28698373,100.6896899,132.6862626,142.2152078
11,101.0393233,124.0602942,94.61678112,128.5428598,99.40493774,95.80405855,128.1372333,147.8940885
17,91.02198362,135.5431578,95.22518176,128.4138706,90.65682125,111.1192093,132.0348805,128.0784676
23,102.1620431,125.9802113,93.85507071,142.0943989,102.5234764,100.5449399,129.3588207,137.6924992
29,100.5348954,200.7901516,104.6691542,131.2988945,104.3913763,98.96169305,124.8979559,128.194513
35,110.267976,194.5275455,107.8860879,99.53194427,98.12534237,112.5927483,130.9873326,147.2016317
41,97.17133594,197.2430155,103.0882108,124.7314248,92.93757153,101.584363,130.3970542,136.6807829
47,100.0607955,188.3668348,90.7321341,142.3379703,98.08313179,105.1505845,125.3691151,135.1810043
48,97.16083407,199.1367967,110.445262,130.0331006,105.4378932,97.39745176,134.2108635,128.2960861
55,106.0275984,181.465694,112.3009584,132.4528233,112.3846693,97.28279471,134.4031703,143.9926319
61,98.6182785,199.0678632,96.23275638,136.4774001,99.1743722,106.0180058,135.0784974,144.5006669
67,101.9368639,129.4312105,111.2980895,91.50426102,91.35487032,107.514694,136.3625968,145.1342171
73,97.2097199,141.9252148,93.51301956,127.5576185,92.04395628,107.6207302,128.9773829,125.3135701
79,94.39848828,147.0222952,91.70800662,134.1204948,105.054477,102.4818276,133.2069107,145.8858764
85,105.4154425,165.0572252,103.4783487,137.8191388,98.21166396,106.4616739,147.6223719,134.0781612
91,91.55725455,193.1391546,101.6524026,120.5063627,94.61113524,101.4094048,128.9933491,140.5728556
97,109.6072941,152.3997817,102.5855722,139.1761791,103.2653379,99.26226664,134.9859934,145.3892189
98,93.07337356,172.2188687,123.9653845,141.5174571,89.0446825,95.93911672,127.0754552,133.9625959
105,103.4527838,158.1685205,111.3583119,149.5143178,91.44066381,101.3622246,104.9047278,140.4205816
111,96.95904303,158.5642829,101.3017251,137.2184491,95.95300674,95.0181756,142.6008723,130.7004644
117,101.5548589,193.5187644,106.9704046,143.3097804,104.8208187,103.3451709,139.143198,142.4017752
123,101.7388697,95.53616548,94.85244226,125.617579,94.53473735,96.20565856,129.423378,134.1026821
129,99.98836803,184.2585301,107.5002055,97.54997635,108.5377026,109.4246273,124.71315,138.960741
135,129.5683818,166.5759456,108.9655507,98.50479734,95.7929287,107.1644065,133.4455529,133.7354629
141,130.59302,122.3462836,95.66966891,121.5762783,91.13171172,97.56967163,127.3191953,124.8008546
147,107.6015158,106.4704375,103.4293785,140.2290634,92.47669792,104.8944054,133.2965314,146.8285313
148,93.35206127,90.48375344,101.3423445,129.8865947,96.7926805,100.774183,130.8385415,142.5016062
155,102.1341329,89.98280096,96.26853275,120.5569682,91.37212396,113.9478812,131.361973,140.6645056
161,133.8606772,98.29230738,101.7483597,140.243327,101.2035489,99.25068289,97.39762306,140.9749395
167,95.72077942,108.4267623,106.402472,140.5259085,95.66627455,94.9852227,141.1150777,141.3434039
173,108.4369559,102.0677383,115.2255635,134.1426532,103.3446367,98.96491814,136.2134706,133.2046256
179,107.5512118,101.9385128,102.1844325,98.78470242,91.22542238,100.3119841,97.46532893,124.1131945
185,90.52209234,98.83627796,109.2058238,121.4945362,107.2301159,117.2359571,130.6555696,134.1645373
191,104.8392973,195.8470943,98.14053273,104.6491706,94.21560669,98.54328728,131.1290073,135.013209
197,128.9688625,95.1888907,111.1221964,133.7852623,88.13952136,101.7464337,135.4756649,125.7245903
198,101.2920034,105.4987937,109.4546628,137.4852831,102.1915016,103.9042655,127.7535658,119.981231
205,88.6709857,93.30789566,102.491446,129.4313227,89.50921011,104.502176,137.2290277,138.3349185
211,98.53079557,95.00213981,111.7959604,140.8884562,101.8381822,109.5005881,131.4990015,139.7566243
217,106.2607594,93.39320791,101.9251003,140.3536906,93.34903431,106.5250605,122.7663281,136.5560613
223,66.03877687,96.11279917,107.9437125,132.7698333,104.9348702,103.6255529,135.4533633,141.5638255
229,101.663023,90.70332026,110.8232498,132.6774668,85.91446686,105.7491493,130.9780824,134.6702088
235,93.52400827,175.004559,111.3296967,140.8689797,97.16238332,101.5735233,128.3079703,136.0018373
241,91.29563236,112.1215708,104.8556466,124.0433086,90.48811674,99.48426723,135.3317769,134.1778927
247,99.88806295,122.7197871,110.0924873,132.0978782,94.56928802,102.0635023,132.7091519,128.2404671
248,109.464829,92.77167177,108.4835989,126.3182667,99.16552114,103.256109,94.45024383,137.0223178
255,98.31288457,133.0627849,102.2368646,131.1362048,91.6812892,101.478512,125.4614139,127.8791276
261,96.58092141,172.4129093,99.79882622,129.3869407,114.0174632,99.52308297,138.2981663,130.308726
267,107.2938704,87.07974482,99.41500616,141.1417258,104.6619153,105.2346265,130.0616765,140.7554557
273,97.53557014,172.105763,105.6424389,145.7814091,96.75687718,99.33190131,134.5440691,129.4385365
279,69.36907911,102.2505593,96.27179813,133.9634339,97.36932397,100.5929514,131.8723586,122.4757143
285,96.93848181,130.4546525,109.7016313,131.1055865,99.52326298,110.0627372,123.5381963,129.7767755
291,66.85140657,95.8886106,101.6437165,123.7787989,94.42153573,109.3087083,137.4189255,132.1395638
297,101.4650722,129.7822347,106.04794,134.0417905,91.07716608,104.9836547,132.8090696,137.5831747
298,91.04157734,171.9221039,104.3969293,97.48385727,100.0117188,104.1651872,127.6748521,136.3320262
305,67.45780659,93.8742044,106.4499502,103.8508203,90.78452206,107.1296496,130.3236892,143.9609592
311,104.9693327,93.47318017,93.05478835,133.8327183,104.2440143,107.2410827,141.1833212,129.3821359
317,73.18366671,102.6099303,110.2220585,138.0382864,91.96972036,91.12569791,142.6465802,143.2629755
323,100.0531254,109.4497174,112.3840723,119.9923533,102.7626328,102.0497323,125.4295933,134.0391173
329,106.6291127,137.6269095,113.3837149,118.1998272,97.74212027,112.0906849,96.14425445,146.2201035
335,72.70500422,131.8840222,104.128757,140.3099641,95.39249825,100.1271187,131.7923641,136.3878143
341,59.70032334,123.5170491,131.7956696,141.7521992,96.32319808,109.4646133,125.6495392,143.9819337
347,74.10637999,99.55635023,108.9975321,135.9277636,88.60480881,103.8152254,137.2810905,124.3899887
348,70.59139013,104.8965924,101.1549816,99.27455497,101.8455477,99.21912551,140.00109,143.673251
355,68.62173653,93.96946454,110.2551029,134.9448782,101.105288,105.0883996,138.5907717,135.4072609
361,66.88538408,175.5510123,108.6592999,138.507578,99.62109327,101.8358378,125.951267,143.4366429
367,95.1845603,162.2910626,105.5888957,146.509369,97.56706524,110.1534278,139.636328,140.1224324
373,71.46809435,173.6986578,118.9144181,145.0540357,84.962708,107.7193882,133.2893994,147.0795157
379,62.61572027,122.7942631,105.0368054,142.4761032,90.31442976,105.1780277,138.0495884,140.9003639
385,90.76480007,101.8680062,101.0660349,129.7706776,85.95926166,114.0566919,127.1417036,128.2358139
391,65.99847269,162.1852968,103.160367,91.25399637,101.925993,101.1284149,129.8441718,148.4024048
397,100.0595355,95.93629217,103.2749261,135.973868,106.7625566,98.86011374,137.806705,139.7450702
398,89.93744636,86.78937387,112.902565,138.6815115,105.4147935,105.3331098,131.0905491,128.8686469
405,62.90816164,111.2943032,109.0480937,133.6090506,83.38606477,101.0020294,131.2277884,132.1911149
411,93.40012312,135.11742,102.3749175,135.5206739,100.6763723,124.4175146,137.676262,133.2242739
417,67.11964512,98.79086971,113.6031668,111.4563081,97.54855323,104.5789604,120.1641035,136.6467363
423,104.9216876,128.8493404,110.2741897,113.149801,96.97687054,92.01079094,148.0255988,143.5969063
429,97.19860983,117.9346521,99.75464761,103.8409421,92.8034718,99.9974494,127.8647659,143.1378099
435,71.5868001,88.64804339,112.8335626,129.450358,91.09828877,103.2155744,126.3882546,130.8628169
441,103.4009485,102.3530371,99.69878066,101.68671,95.02064514,104.0926653,126.6843429,140.4852128
447,66.97684574,86.39576519,113.7082162,139.95321,100.7055652,99.59293723,125.214431,133.7519282
448,89.5286212,98.03571415,106.9315063,122.6963565,110.9626079,101.5732409,130.2536738,138.9312239
455,72.92430449,99.44665694,102.8125058,100.4323752,106.1770737,96.43946445,123.2045484,132.9240963
461,93.78622532,98.62604451,105.5124359,127.8772341,105.0997059,102.2734706,129.5152941,135.9301673
467,108.0990949,89.05930948,105.8506796,124.8783029,100.8205321,115.5184672,137.7431474,127.6563694
473,103.2803679,89.27887666,110.1522542,98.06934988,99.11180758,96.9525367,136.2990987,141.1807052
479,95.30311441,89.21909475,108.2488935,136.6565154,92.25537753,114.7591941,126.0934432,124.0268753
485,95.54386997,91.9366827,116.8296552,94.08753216,100.4222183,111.1482422,132.5638413,131.3435622
491,91.00638676,93.38479018,100.8269405,110.048028,94.00835681,113.7145808,124.1875851,143.3964434
497,102.791976,92.3885591,106.0589467,133.7899336,100.0674,111.2093287,106.9259419,124.6459125
498,102.415365,104.6416905,109.3232454,101.7343616,89.07557702,100.4461019,137.007781,132.8924209
505,101.6473289,106.4416034,98.90291595,106.8056428,91.48603725,110.0347388,123.4021512,127.8649547
511,100.0348535,92.79862761,105.7429233,107.4873579,97.57850003,96.48185027,139.3354945,151.1825801
517,67.17212057,97.10055876,112.6626339,125.4167032,95.43963981,103.0761981,127.1037089,131.2045934
523,68.3127923,110.9644523,106.20292,125.8310608,93.51009893,112.0189204,128.3375721,133.8532386
